SMILES,pAct
O=C(O)c1ccc(NCc2cccc(Br)c2)cc1,4.358456487247683
Clc1ccc(CN(Cc2ccc(Cl)cc2)c2nn[nH]n2)cc1,4.835587655895231
Clc1ccc(-n2c(SC/C=C/c3ccccc3)nnc2-c2cccnc2)cc1,5.073966403321156
O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(COC4)C3)cc2)C1,7.958607314841775
Clc1ccc(C2CC(c3cccs3)n3ncnc3N2)cc1Cl,4.795554418566932
O=C(N[C@@H]1Cc2ccc(CNCCC3CC3)cc2C1)c1ccc(OCC2CC2)cn1,6.071604147743286
N#Cc1cccc(-c2ccc(C(=C3CCN(CC4CC4)CC3)c3nc4cc(F)c(C(F)(F)F)cc4[nH]3)cc2)c1,8.455931955649724
N#Cc1cccc(-c2ccc(C3(CNC(=O)Nc4cc(Cl)cc(Cl)c4)CCN(CC4CC4)CC3)cc2)c1,9.769551078621726
O=C(Nc1ccc2c(c1)CCC(CN1CCOCC1)=C2)c1ccc(-c2ccc(Cl)cc2)cc1,7.920818753952375
O=c1nc(NC2CC3CCC(C2)N3Cc2ccc3c(c2)OCO3)c2cc(Cl)ccc2n1CC(F)(F)F,8.397940008672037
O=C(CSc1nnc(Cc2ccccc2)n1Cc1ccco1)NC1CCCC1,4.358456487247683
O=C(NCC(CCNC1CCCC1)c1ccc(-c2ccc(Cl)cc2)cc1)Nc1cc(Cl)cc(Cl)c1,6.552841968657781
O=C(NCC(CCNC1CCCC1)c1ccc(-c2ccccc2)cc1)Nc1cc(Cl)cc(Cl)c1,7.301029995663981
O=C(NCC(CCNC1CCCC1)c1ccc(-c2cccnc2)cc1)Nc1cc(Cl)cc(Cl)c1,7.619788758288394
N#Cc1cccc(-c2ccc(C3(CNC(=O)Nc4cc(Cl)cc(Cl)c4)CCN(C4CCCCC4)CC3)cc2)c1,8.920818753952375
O=C1c2ccc(OC[C@@H]3CCCO3)cc2CCN1[C@@H]1Cc2ccc(CNC3CCCCC3)cc2C1,6.1095789811990855
O=C(N[C@@H]1Cc2ccc(CN3CCCCCC3)cc2C1)c1ccc(OC[C@@H]2CCCO2)cn1,6.115771230367396
O=C(Nc1ccc(Oc2ccccc2)cc1)Nc1ccc2c(cnn2CCN2CCCCCC2)c1,8.397940008672037
O=C(Nc1ccc2c(c1)CCC(CN1CCCC1)=C2)c1ccc(-c2ccc(Cl)cc2)cc1,8.657577319177793
O=C(Nc1ccc2c(c1)CCC(CN1CCCC1)=C2)c1ccc(-c2ccc(F)cc2)cc1,7.958607314841775
